c(t),t
0.1650283647246042,0.961
0.1649953623520065,0.962
0.1649623665792234,0.963
0.1649293774049349,0.964
0.1648963948278216,0.965
0.1648634188465641,0.966
0.1648304494598433,0.967
0.1647974866663406,0.968
0.1647645304647373,0.969
0.1647315808537154,0.97
0.1646986378319566,0.971
0.1646657013981434,0.972
0.1646327715509582,0.973
0.164599848289084,0.974
0.1645669316112037,0.975
0.1645340215160006,0.976
0.1645011180021585,0.977
0.1644682210683611,0.978
0.1644353307132926,0.979
0.1644024469356373,0.98
0.1643695697340799,0.981
0.1643366991073054,0.982
0.1643038350539988,0.983
0.1642709775728456,0.984
0.1642381266625316,0.985
0.1642052823217426,0.986
0.164172444549165,0.987
0.1641396133434851,0.988
0.1641067887033899,0.989
0.1640739706275662,0.99
0.1640411591147013,0.991
0.1640083541634829,0.992
0.1639755557725986,0.993
0.1639427639407366,0.994
0.1639099786665851,0.995
0.1638771999488328,0.996
0.1638444277861686,0.997
0.1638116621772815,0.998
0.1637789031208608,0.999
0.1637461506155964,1.0
0.1637134046601779,1.0010000000000001
0.1636806652532957,1.002
0.1636479323936401,1.0030000000000001
0.1636152060799018,1.004
0.1635824863107718,1.0050000000000001
0.1635497730849413,1.006
0.1635170664011017,1.0070000000000001
0.1634843662579448,1.008
0.1634516726541626,1.0090000000000001
0.1634189855884473,1.01
0.1633863050594914,1.0110000000000001
0.1633536310659878,1.012
0.1633209636066294,1.0130000000000001
0.1632883026801096,1.014
0.1632556482851219,1.0150000000000001
0.1632230004203602,1.016
0.1631903590845186,1.0170000000000001
0.1631577242762913,1.018
0.1631250959943729,1.0190000000000001
0.1630924742374585,1.02
0.163059859004243,1.0210000000000001
0.163027250293422,1.022
0.162994648103691,1.0230000000000001
0.1629620524337459,1.024
0.1629294632822829,1.025
0.1628968806479985,1.026
0.1628643045295893,1.027
0.1628317349257523,1.028
0.1627991718351848,1.029
0.1627666152565841,1.03
0.1627340651886481,1.031
0.1627015216300747,1.032
0.1626689845795622,1.033
0.1626364540358091,1.034
0.1626039299975142,1.035
0.1625714124633765,1.036
0.1625389014320953,1.037
0.1625063969023702,1.038
0.162473898872901,1.039
0.1624414073423878,1.04
0.1624089223095309,1.041
0.1623764437730309,1.042
0.1623439717315886,1.043
0.1623115061839053,1.044
0.1622790471286823,1.045
0.1622465945646211,1.046
0.1622141484904238,1.047
0.1621817089047924,1.048
0.1621492758064293,1.049
0.1621168491940374,1.05
0.1620844290663194,1.051
0.1620520154219786,1.052
0.1620196082597185,1.053
0.1619872075782427,1.054
0.1619548133762552,1.055
0.1619224256524603,1.056
0.1618900444055625,1.057
0.1618576696342664,1.058
0.1618253013372771,1.059
0.1617929395132999,1.06
0.1617605841610404,1.061
0.1617282352792042,1.062
0.1616958928664974,1.063
0.1616635569216264,1.064
0.1616312274432977,1.065
0.161598904430218,1.066
0.1615665878810946,1.067
0.1615342777946348,1.068
0.161501974169546,1.069
0.1614696770045363,1.07
0.1614373862983136,1.071
0.1614051020495864,1.072
0.1613728242570634,1.073
0.1613405529194533,1.074
0.1613082880354653,1.075
0.161276029603809,1.076
0.1612437776231938,1.077
0.1612115320923297,1.078
0.1611792930099269,1.079
0.1611470603746959,1.08
0.1611148341853473,1.081
0.1610826144405921,1.082
0.1610504011391415,1.083
0.161018194279707,1.084
0.1609859938610003,1.085
0.1609537998817333,1.086
0.1609216123406184,1.087
0.1608894312363679,1.088
0.1608572565676948,1.089
0.1608250883333119,1.09
0.1607929265319326,1.091
0.1607607711622704,1.092
0.160728622223039,1.093
0.1606964797129525,1.094
0.1606643436307253,1.095
0.1606322139750718,1.096
0.1606000907447069,1.097
0.1605679739383456,1.098
0.1605358635547034,1.099
0.1605037595924957,1.1
0.1604716620504384,1.101
0.1604395709272476,1.102
0.1604074862216396,1.103
0.1603754079323311,1.104
0.160343336058039,1.105
0.1603112705974804,1.106
0.1602792115493725,1.107
0.1602471589124332,1.108
0.1602151126853802,1.109
0.1601830728669318,1.11
0.1601510394558063,1.111
0.1601190124507224,1.112
0.1600869918503991,1.113
0.1600549776535554,1.114
0.1600229698589108,1.115
0.1599909684651851,1.116
0.1599589734710981,1.117
0.1599269848753701,1.118
0.1598950026767215,1.119
0.159863026873873,1.12
0.1598310574655456,1.121
0.1597990944504606,1.122
0.1597671378273393,1.123
0.1597351875949036,1.124
0.1597032437518754,1.125
0.159671306296977,1.1260000000000001
0.1596393752289308,1.127
0.1596074505464597,1.1280000000000001
0.1595755322482866,1.129
0.1595436203331348,1.1300000000000001
0.1595117147997279,1.131
0.1594798156467896,1.1320000000000001
0.1594479228730439,1.133
0.1594160364772152,1.1340000000000001
0.1593841564580279,1.135
0.1593522828142069,1.1360000000000001
0.1593204155444773,1.137
0.1592885546475643,1.1380000000000001
0.1592567001221935,1.139
0.1592248519670907,1.1400000000000001
0.1591930101809821,1.141
0.1591611747625938,1.1420000000000001
0.1591293457106526,1.143
0.1590975230238852,1.1440000000000001
0.1590657067010188,1.145
0.1590338967407806,1.1460000000000001
0.1590020931418984,1.147
0.1589702959030998,1.1480000000000001
0.1589385050231132,1.149
0.1589067205006668,1.1500000000000001
0.1588749423344892,1.151
0.1588431705233093,1.1520000000000001
0.1588114050658563,1.153
0.1587796459608595,1.154
0.1587478932070485,1.155
0.1587161468031533,1.156
0.158684406747904,1.157
0.158652673040031,1.158
0.1586209456782649,1.159
0.1585892246613367,1.16
0.1585575099879775,1.161
0.1585258016569187,1.162
0.158494099666892,1.163
0.1584624040166293,1.164
0.1584307147048628,1.165
0.1583990317303249,1.166
0.1583673550917482,1.167
0.1583356847878659,1.168
0.1583040208174109,1.169
0.1582723631791167,1.17
0.1582407118717172,1.171
0.1582090668939461,1.172
0.1581774282445377,1.173
0.1581457959222265,1.174
0.1581141699257471,1.175
0.1580825502538345,1.176
0.158050936905224,1.177
0.158019329878651,1.178
0.1579877291728512,1.179
0.1579561347865605,1.18
0.1579245467185153,1.181
0.157892964967452,1.182
0.1578613895321073,1.183
0.1578298204112182,1.184
0.1577982576035219,1.185
0.157766701107756,1.186
0.1577351509226581,1.187
0.1577036070469663,1.188
0.1576720694794188,1.189
0.1576405382187541,1.19
0.1576090132637109,1.191
0.1575774946130283,1.192
0.1575459822654455,1.193
0.157514476219702,1.194
0.1574829764745375,1.195
0.1574514830286922,1.196
0.1574199958809062,1.197
0.1573885150299201,1.198
0.1573570404744745,1.199
0.1573255722133107,1.2
0.1572941102451697,1.201
0.1572626545687931,1.202
0.1572312051829228,1.203
0.1571997620863007,1.204
0.1571683252776691,1.205
0.1571368947557705,1.206
0.1571054705193477,1.207
0.1570740525671438,1.208
0.157042640897902,1.209
0.1570112355103659,1.21
0.1569798364032792,1.211
0.1569484435753859,1.212
0.1569170570254305,1.213
0.1568856767521573,1.214
0.1568543027543113,1.215
0.1568229350306373,1.216
0.1567915735798808,1.217
0.1567602184007873,1.218
0.1567288694921025,1.219
0.1566975268525725,1.22
0.1566661904809436,1.221
0.1566348603759623,1.222
0.1566035365363755,1.223
0.1565722189609302,1.224
0.1565409076483736,1.225
0.1565096025974534,1.226
0.1564783038069173,1.227
0.1564470112755134,1.228
0.1564157250019899,1.229
0.1563844449850954,1.23
0.1563531712235788,1.231
0.1563219037161891,1.232
0.1562906424616755,1.233
0.1562593874587876,1.234
0.1562281387062752,1.235
0.1561968962028885,1.236
0.1561656599473776,1.237
0.1561344299384931,1.238
0.1561032061749858,1.239
0.1560719886556068,1.24
0.1560407773791074,1.241
0.1560095723442391,1.242
0.1559783735497537,1.243
0.1559471809944032,1.244
0.1559159946769401,1.245
0.1558848145961167,1.246
0.1558536407506859,1.247
0.1558224731394008,1.248
0.1557913117610146,1.249
0.155760156614281,1.25
0.1557290076979536,1.2510000000000001
0.1556978650107865,1.252
0.155666728551534,1.2530000000000001
0.1556355983189508,1.254
0.1556044743117914,1.2550000000000001
0.1555733565288111,1.256
0.1555422449687651,1.2570000000000001
0.1555111396304088,1.258
0.1554800405124982,1.2590000000000001
0.1554489476137892,1.26
0.1554178609330381,1.2610000000000001
0.1553867804690015,1.262
0.1553557062204362,1.2630000000000001
0.1553246381860991,1.264
0.1552935763647475,1.2650000000000001
0.1552625207551391,1.266
0.1552314713560315,1.2670000000000001
0.1552004281661827,1.268
0.1551693911843511,1.2690000000000001
0.1551383604092952,1.27
0.1551073358397737,1.2710000000000001
0.1550763174745456,1.272
0.1550453053123703,1.2730000000000001
0.1550142993520072,1.274
0.1549832995922162,1.2750000000000001
0.1549523060317571,1.276
0.1549213186693903,1.2770000000000001
0.1548903375038762,1.278
0.1548593625339757,1.2790000000000001
0.1548283937584497,1.28
0.1547974311760594,1.281
0.1547664747855664,1.282
0.1547355245857325,1.283
0.1547045805753195,1.284
0.1546736427530898,1.285
0.1546427111178058,1.286
0.1546117856682303,1.287
0.1545808664031262,1.288
0.1545499533212568,1.289
0.1545190464213856,1.29
0.1544881457022762,1.291
0.1544572511626927,1.292
0.1544263628013993,1.293
0.1543954806171603,1.294
0.1543646046087406,1.295
0.1543337347749052,1.296
0.1543028711144192,1.297
0.154272013626048,1.298
0.1542411623085574,1.299
0.1542103171607132,1.3
0.1541794781812818,1.301
0.1541486453690296,1.302
0.1541178187227232,1.303
0.1540869982411295,1.304
0.1540561839230158,1.305
0.1540253757671495,1.306
0.1539945737722982,1.307
0.1539637779372299,1.308
0.1539329882607127,1.309
0.1539022047415151,1.31
0.1538714273784057,1.311
0.1538406561701535,1.312
0.1538098911155274,1.313
